Ticker Symbol,SPY,SPY,SPY,SPY,SPY,AAL,AAL,AAL,AAL,AAL,ZM,ZM,ZM,ZM,ZM,NFLX,NFLX,NFLX,NFLX,NFLX
Stock Info,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2022-02-28,427.075,433.174,425.757,431.617,147305049.79746,17.04,17.425,16.55,17.25,51465660,126.79,135.09,125.1,132.6,12033137.0,387.33,397.75,382.13,394.52,5035046
2022-02-25,424.685,432.817,422.95,432.727,123218132.34084,17.16,17.73,16.99,17.46,43874112,129.05,129.06,120.02,125.32,5242599.0,386.61,391.29,375.58,390.8,4841636
2022-02-24,406.301,423.843,405.924,423.386,216425985.956,15.66,17.0,15.48,16.96,56881501,114.74,128.74,114.26,126.97,6998541.0,355.09,390.73,354.72,390.03,7068724
2022-02-23,427.7,428.285,416.515,417.109,134116716.23169,17.62,17.76,16.61,16.64,35359077,127.99,128.15,120.1,120.1,4634693.0,382.72,386.0,366.66,367.46,4614290
2022-02-22,426.937,430.506,420.977,424.646,125835531.95395,17.44,17.95,17.29,17.43,32432677,125.055,130.73,124.98,126.61,4445964.0,388.95,392.42,373.02,377.38,6697515
2022-02-18,432.311,433.63,426.867,429.247,134182361.18421,18.22,18.41,17.75,17.87,30507535,130.13,131.94,124.71,126.96,5435014.0,392.53,402.87,389.0466,391.29,6801668
2022-02-17,438.132,441.444,431.408,432.043,103445935.97261,18.535,18.67,18.03,18.22,29950293,137.63,137.735,128.93,129.38,4944736.0,394.235,399.11,385.7,386.67,4669222
2022-02-16,438.836,442.911,436.872,441.473,85848519.346409,18.565,19.11,18.5,18.82,30557521,144.49,144.69,136.395,138.51,3928926.0,401.53,401.56,390.3842,398.08,5277650
2022-02-15,438.638,441.156,438.092,440.978,89688492.919131,18.315,18.905,18.12,18.84,46528684,144.44,147.145,141.1,146.9,3043753.0,403.79,409.1619,401.01,407.46,5395641
2022-02-14,434.869,436.535,430.348,433.987,124433883.03336,17.85,18.305,17.35,17.43,37446629,142.42,147.74,141.1101,142.09,2538889.0,387.59,409.36,386.891,396.57,7202155
2022-02-11,444.249,446.422,433.907,435.405,154992818.58933,18.59,18.9771,17.44,17.61,50338913,146.965,150.48,140.16,141.24,2690370.0,405.33,411.6103,387.65,391.31,7558939
2022-02-10,446.164,452.461,442.068,444.161,141729767.9293,18.42,19.08,18.35,18.71,36411849,145.78,152.69,144.29,145.72,3348835.0,402.1,408.0,396.36,406.27,8452915
2022-02-09,450.001,452.629,449.783,452.291,93664535.507569,18.45,18.97,18.35,18.76,42407271,146.49,149.81,143.9,149.6,3067123.0,408.65,412.98,398.79,412.89,7738227
2022-02-08,441.602,446.739,440.115,445.767,81952268.442819,17.4,18.28,17.21,18.26,46702470,139.36,143.19,137.2801,142.69,2565110.0,398.18,406.61,395.83,403.53,6818543
2022-02-07,444.349,445.817,440.74,442.128,85453257.951019,16.69,17.505,16.64,17.28,52927528,144.59,147.48,139.78,141.44,2531119.0,410.17,412.35,393.55,402.1,8232859
2022-02-04,441.226,447.582,438.736,443.555,119829142.83921,16.54,16.565,16.04,16.45,38585193,139.3,145.21,136.92,144.1,3457854.0,407.31,412.77,396.6391,410.17,7789798
2022-02-03,445.777,447.77,440.601,441.473,119394243.76817,16.65,17.175,16.545,16.57,30642813,144.072,146.45,137.35,137.94,3355981.0,421.44,429.26,404.28,405.6,9905210
2022-02-02,450.279,452.867,447.85,452.103,118723054.53381,16.88,17.145,16.49,16.96,37904187,155.79,156.05,146.58,148.11,3063437.0,448.25,451.98,426.48,429.48,14346010
2022-02-01,445.509,448.424,441.811,447.75,124584734.11369,16.56,16.965,16.4114,16.83,30798782,155.23,155.95,150.07,155.68,3315996.0,432.96,458.48,425.5401,457.13,22568099
2022-01-31,436.178,445.113,434.761,444.745,154018467.94697,15.55,16.47,15.4,16.47,35533507,146.67,154.34,145.9,154.28,4960859.0,401.97,427.7,398.2,427.14,20047452
2022-01-28,427.72,436.932,422.91,436.882,166366076.37796,15.67,15.78,14.905,15.64,51662636,137.58,143.89,134.7,143.81,3682700.0,386.76,387.0,372.08,384.36,11966605
2022-01-27,433.233,436.525,424.527,426.291,151617807.40654,16.425,16.84,15.6226,15.78,43507377,143.6,143.81,136.1699,136.81,3580275.0,382.06,394.8,378.1,386.7,24324747
2022-01-26,435.663,438.944,423.942,428.404,188554358.75126,16.7,16.97,16.135,16.24,39331762,150.0275,152.0,138.89,140.33,4888340.0,378.27,382.66,356.62,359.7,12683981
2022-01-25,428.087,434.671,422.246,429.485,169947115.73778,16.05,16.54,15.89,16.46,42471591,150.0,152.14,142.12,145.89,5122217.0,379.14,387.71,365.13,366.42,15145816
2022-01-24,427.075,435.325,415.929,434.79,255427216.98229,15.85,16.44,15.38,16.41,60008675,141.68,153.24,138.91,152.95,8235232.0,383.91,387.26,351.46,387.15,32386782
2022-01-21,440.452,442.921,432.926,432.955,204618818.39947,16.77,16.78,16.09,16.3,52547514,153.98,156.91,147.11,147.66,5722561.0,400.425,409.1499,379.99,397.5,58904266
2022-01-20,448.544,453.481,439.4,441.622,123800045.28688,17.63,17.7326,16.6829,16.76,54892831,159.55,163.48,155.65,155.81,3710654.0,517.7498,526.64,506.93,508.25,12658993
2022-01-19,452.877,454.335,446.283,446.57,110626782.2064,17.9,17.91,17.29,17.31,36133149,158.65,162.99,156.94,157.23,3305196.0,515.0,523.21,510.51,515.86,4353508
2022-01-18,454.463,454.682,450.09,451.251,111147564.08456,18.23,18.61,17.77,17.9,39855909,156.324,162.9799,156.0,157.7,4364412.0,520.08,521.75,508.68,510.8,4844418
2022-01-14,455.902,459.759,454.622,459.392,97003866.22726,19.11,19.16,18.4,18.49,44983138,161.42,164.89,156.88,159.72,4700697.0,517.6,538.37,511.88,525.69,7861109
2022-01-13,466.77,467.454,458.122,459.203,92231284.352102,18.735,19.7597,18.63,19.34,55911766,170.1,170.39,162.0,162.1,4612516.0,537.06,540.79,518.26,519.2,4475063
2022-01-12,466.184,467.771,463.556,465.619,68390078.129038,19.16,19.255,18.35,18.5,41140852,177.0,179.9,169.7,170.65,2704254.0,544.27,544.27,532.02,537.22,3787372
2022-01-11,459.887,464.459,456.744,464.36,75165430.083719,18.88,19.205,18.71,19.02,22531542,172.15,178.88,169.45,175.97,2410998.0,536.99,543.91,530.07,540.84,3077836
2022-01-10,457.388,460.393,451.359,460.165,120747313.9717,19.24,19.39,18.68,18.79,25707705,169.32,173.23,164.9,172.56,3502327.0,538.49,543.69,526.32,539.85,4486145
2022-01-07,462.585,463.814,459.322,460.741,86099405.008506,18.75,19.59,18.58,19.28,42399468,176.05,180.67,170.72,171.6,3089411.0,549.46,553.43,538.2175,541.06,3382873
2022-01-06,462.525,465.42,460.086,462.575,87866992.218136,18.89,19.0599,18.35,18.57,19097700,173.09,181.88,171.23,176.33,4002529.0,554.34,563.36,542.01,553.29,5711795
2022-01-05,471.688,472.501,462.912,463.011,105752227.48177,19.13,19.385,18.51,18.68,34447891,175.975,183.67,174.29,174.88,3772259.0,592.0,592.84,566.88,567.52,4148749
2022-01-04,473.72,474.474,470.121,472.074,72004784.049447,19.215,19.46,18.8504,19.02,29266598,183.32,183.555,172.1,179.85,5269802.0,599.91,600.4099,581.6,591.15,4393135
2022-01-03,470.835,472.372,468.415,472.233,73511626.853382,18.23,19.18,18.2,18.75,42891313,184.44,184.91,177.24,184.26,3175166.0,605.61,609.99,590.56,597.37,3068808
2021-12-31,470.181,471.39,469.229,469.506,65994581.932501,18.07,18.36,17.93,17.96,20656982,189.2,191.6106,183.62,183.91,2817386.0,610.01,614.075,602.05,602.44,1995918
2021-12-30,472.451,473.502,470.211,470.696,55971194.491283,17.975,18.38,17.96,18.07,28158242,182.32,192.91,180.84,190.52,4141928.0,612.99,620.61,611.2401,612.09,1625093
2021-12-29,471.509,473.066,470.459,472.005,55135529.828599,18.4,18.43,17.99,18.05,22626993,184.0,185.2144,179.785,181.81,2565682.0,610.71,613.98,604.68,610.54,1287513
2021-12-28,472.243,473.314,470.597,471.4,47823257.547125,18.03,18.64,17.92,18.54,28263648,186.6,190.63,183.09,183.77,3132495.0,614.95,618.41,609.69,610.71,1884116
2021-12-27,466.64,471.837,466.59,471.787,57467944.58798,17.66,18.24,17.545,18.17,28059320,189.54,190.44,185.66,187.44,3070994.0,615.0,615.0,609.25,613.12,2062233
2021-12-23,463.368,466.77,463.259,465.202,57094789.730894,18.59,18.72,18.15,18.26,32321000,191.0,193.41,186.65,191.65,3106628.0,616.4,616.88,607.57,614.09,1621146
2021-12-22,457.478,462.446,457.27,462.327,59573708.082508,18.18,18.5,17.91,18.26,29522971,197.05,200.25,190.42,193.13,2865894.0,603.36,614.82,602.63,614.24,2335745
2021-12-21,453.353,457.894,451.072,457.746,70616437.776858,17.45,18.46,17.4,18.12,47591991,199.04,200.53,191.67,199.42,4246782.0,597.5434,607.82,593.8611,604.92,2319390
2021-12-20,449.268,450.18,445.965,449.763,108378237.3601,16.5,17.78,16.455,17.3,44479128,205.0,205.22,197.02,197.97,7774054.0,586.43,602.8847,584.26,593.74,3358404
2021-12-17,456.258,459.412,452.807,454.592,137210718.93412,16.66,17.3,16.4,16.95,41934268,184.12,201.69,183.355,199.74,10512603.0,591.61,593.25,581.74,586.73,4433706
